date,close
2024-08-19,168.39999389648438
2024-08-20,168.9600067138672
2024-08-21,167.6300048828125
2024-08-22,165.49000549316406
2024-08-23,167.42999267578125
2024-08-26,167.92999267578125
2024-08-27,166.3800048828125
2024-08-28,164.5
2024-08-29,163.39999389648438
2024-08-30,165.11000061035156
2024-09-03,158.61000061035156
2024-09-04,157.80999755859375
2024-09-05,158.60000610351562
2024-09-06,152.1300048828125
2024-09-09,149.5399932861328
2024-09-10,150.00999450683594
2024-09-11,152.14999389648438
2024-09-12,155.5399932861328
2024-09-13,158.3699951171875
2024-09-16,158.99000549316406
2024-09-17,160.27999877929688
2024-09-18,160.80999755859375
2024-09-19,163.24000549316406
2024-09-20,164.63999938964844
2024-09-23,163.07000732421875
2024-09-24,163.63999938964844
2024-09-25,162.99000549316406
2024-09-26,163.8300018310547
2024-09-27,165.2899932861328
2024-09-30,167.19000244140625
2024-10-01,168.4199981689453
2024-10-02,167.30999755859375
2024-10-03,167.2100067138672
2024-10-04,168.55999755859375
2024-10-07,164.38999938964844
2024-10-08,165.6999969482422
2024-10-09,163.05999755859375
2024-10-10,163.17999267578125
2024-10-11,164.52000427246094
2024-10-14,166.35000610351562
2024-10-15,166.89999389648438
2024-10-16,166.74000549316406
2024-10-17,164.50999450683594
2024-10-18,165.0500030517578
2024-10-21,165.8000030517578
2024-10-22,166.82000732421875
2024-10-23,164.47999572753906
2024-10-24,164.52999877929688
2024-10-25,166.99000549316406
2024-10-28,168.33999633789062
2024-10-29,171.13999938964844
2024-10-30,176.13999938964844
2024-10-31,172.69000244140625
2024-11-01,172.64999389648438
2024-11-04,170.67999267578125
2024-11-05,171.41000366210938
2024-11-06,178.3300018310547
2024-11-07,182.27999877929688
2024-11-08,179.86000061035156
2024-11-11,181.97000122070312
2024-11-12,183.32000732421875
2024-11-13,180.49000549316406
2024-11-14,177.35000610351562
2024-11-15,173.88999938964844
2024-11-18,176.8000030517578
2024-11-19,179.5800018310547
2024-11-20,177.3300018310547
2024-11-21,169.24000549316406
