date,close
2024-08-26,155.3699951171875
2024-08-27,155.61000061035156
2024-08-28,155.7899932861328
2024-08-29,156.1199951171875
2024-08-30,157.1999969482422
2024-09-03,156.89999389648438
2024-09-04,156.6300048828125
2024-09-05,154.47999572753906
2024-09-06,153.9499969482422
2024-09-09,155.02999877929688
2024-09-10,155.74000549316406
2024-09-11,155.27999877929688
2024-09-12,155.83999633789062
2024-09-13,156.16000366210938
2024-09-16,157.24000549316406
2024-09-17,155.6199951171875
2024-09-18,155.36000061035156
2024-09-19,155.9199981689453
2024-09-20,155.27999877929688
2024-09-23,154.39999389648438
2024-09-24,154.08999633789062
2024-09-25,152.58999633789062
2024-09-26,153.10000610351562
2024-09-27,153.02000427246094
2024-09-30,154.02000427246094
2024-10-01,153.2100067138672
2024-10-02,152.89999389648438
2024-10-03,151.52000427246094
2024-10-04,151.63999938964844
2024-10-07,150.97000122070312
2024-10-08,151.7899932861328
2024-10-09,153.33999633789062
2024-10-10,152.77000427246094
2024-10-11,153.88999938964844
2024-10-14,154.74000549316406
2024-10-15,152.85000610351562
2024-10-16,153.27999877929688
2024-10-17,152.38999938964844
2024-10-18,153.1300048828125
2024-10-21,151.3300018310547
2024-10-22,151.11000061035156
2024-10-23,150.39999389648438
2024-10-24,149.41000366210938
2024-10-25,148.58999633789062
2024-10-28,148.80999755859375
2024-10-29,148.39999389648438
2024-10-30,148.1199951171875
2024-10-31,146.8699951171875
2024-11-01,147.74000549316406
2024-11-04,146.77000427246094
2024-11-05,147.85000610351562
2024-11-06,148.0399932861328
2024-11-07,149.11000061035156
2024-11-08,150.17999267578125
2024-11-11,149.3000030517578
2024-11-12,147.22000122070312
2024-11-13,146.8300018310547
2024-11-14,144.52000427246094
2024-11-15,141.83999633789062
2024-11-18,141.94000244140625
2024-11-19,141.2100067138672
2024-11-20,142.8800048828125
2024-11-21,144.02999877929688
2024-11-22,144.16000366210938
2024-11-25,145.38999938964844
2024-11-26,146.1699981689453
2024-11-27,146.9499969482422
2024-11-29,147.41000366210938
2024-12-02,147.14999389648438
2024-12-03,146.82000732421875
2024-12-04,146.74000549316406
2024-12-05,145.10000610351562
2024-12-06,144.27999877929688
2024-12-09,144.6999969482422
2024-12-10,144.10000610351562
2024-12-11,142.13999938964844
2024-12-12,141.00999450683594
2024-12-13,140.99000549316406
2024-12-16,139.30999755859375
2024-12-17,139.2100067138672
2024-12-18,137.32000732421875
2024-12-19,136.27999877929688
2024-12-20,138.0
2024-12-23,138.75
2024-12-24,139.32000732421875
2024-12-26,139.60000610351562
2024-12-27,138.9499969482422
2024-12-30,137.24000549316406
2024-12-31,137.57000732421875
2025-01-02,137.61000061035156
2025-01-03,138.9600067138672
2025-01-06,139.02000427246094
2025-01-07,139.7100067138672
2025-01-08,140.42999267578125
2025-01-10,139.63999938964844
2025-01-13,141.4600067138672
2025-01-14,140.0
2025-01-15,140.57000732421875
2025-01-16,141.1300048828125
2025-01-17,140.17999267578125
2025-01-21,142.5
2025-01-22,142.17999267578125
2025-01-23,144.0800018310547
2025-01-24,144.30999755859375
2025-01-27,147.5500030517578
2025-01-28,146.52000427246094
2025-01-29,145.66000366210938
2025-01-30,147.33999633789062
2025-01-31,146.8699951171875
2025-02-03,147.44000244140625
2025-02-04,147.0399932861328
2025-02-05,148.4499969482422
2025-02-06,147.1199951171875
2025-02-07,146.42999267578125
2025-02-10,146.3000030517578
2025-02-11,146.02999877929688
2025-02-12,145.82000732421875
2025-02-13,146.38999938964844
2025-02-14,144.8000030517578
2025-02-18,144.52000427246094
2025-02-19,146.39999389648438
2025-02-20,147.22000122070312
2025-02-21,146.42999267578125
2025-02-24,147.6199951171875
2025-02-25,148.88999938964844
2025-02-26,147.82000732421875
2025-02-27,147.22000122070312
2025-02-28,148.92999267578125
2025-03-03,149.5800018310547
2025-03-04,148.19000244140625
2025-03-05,149.67999267578125
2025-03-06,149.27000427246094
2025-03-07,149.27999877929688
2025-03-10,147.6699981689453
2025-03-11,146.05999755859375
2025-03-12,144.60000610351562
2025-03-13,143.8300018310547
2025-03-14,144.92999267578125
2025-03-17,146.77000427246094
2025-03-18,146.83999633789062
2025-03-19,146.9199981689453
2025-03-20,147.00999450683594
2025-03-21,146.60000610351562
2025-03-24,147.14999389648438
2025-03-25,145.27000427246094
2025-03-26,144.74000549316406
2025-03-27,144.97000122070312
2025-03-28,144.52000427246094
2025-03-31,146.00999450683594
2025-04-01,143.33999633789062
2025-04-02,144.3000030517578
2025-04-03,143.1300048828125
2025-04-04,135.27999877929688
2025-04-07,134.47000122070312
2025-04-08,132.97999572753906
2025-04-09,138.75999450683594
2025-04-10,134.88999938964844
2025-04-11,136.8699951171875
2025-04-14,138.5399932861328
2025-04-15,137.69000244140625
2025-04-16,136.2899932861328
2025-04-17,135.49000549316406
2025-04-21,132.57000732421875
2025-04-22,135.05999755859375
2025-04-23,135.72999572753906
2025-04-24,137.38999938964844
2025-04-25,138.0500030517578
2025-04-28,138.60000610351562
2025-04-29,139.27999877929688
2025-04-30,140.47000122070312
2025-05-01,136.63999938964844
2025-05-02,138.52999877929688
2025-05-05,138.13999938964844
2025-05-06,134.3300018310547
2025-05-07,135.36000061035156
2025-05-08,134.13999938964844
2025-05-09,132.67999267578125
2025-05-12,135.9600067138672
2025-05-13,131.8699951171875
2025-05-14,128.77000427246094
2025-05-15,130.4600067138672
2025-05-16,133.08999633789062
2025-05-19,134.3699951171875
2025-05-20,134.6999969482422
2025-05-21,131.5800018310547
2025-05-22,130.5500030517578
2025-05-23,130.33999633789062
2025-05-27,132.16000366210938
2025-05-28,131.47999572753906
